group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_eligible_target_test,n_supported,n_supported_days,support_retention,threshold,n_support_features,transfer_mae,local_same_rows_mae,otg_abs,otg_rel,otg_rel_defined
TW_4467a039e00b,PS_046,PS_048,SplineRidge,CS4_R9,True,,739,82,18,0.11096075778078485,0.6448333873596003,6,0.05785356947782723,0.04909672647773494,0.008756843000092288,0.17835899923110884,True
TW_4467a039e00b,PS_046,PS_049,SplineRidge,CS4_R9,True,,710,484,18,0.6816901408450704,0.6448333873596003,6,0.06860948959604705,0.0583990925270823,0.010210397068964754,0.17483828304745883,True
TW_4467a039e00b,PS_046,PS_050,SplineRidge,CS4_R9,True,,841,573,21,0.6813317479191439,0.6448333873596003,6,0.06237716023685265,0.05990130935959247,0.002475850877260183,0.04133216625361972,True
TW_4467a039e00b,PS_046,PS_051,SplineRidge,CS4_R9,True,,747,294,19,0.39357429718875503,0.6448333873596003,6,0.07497651234664138,0.053349584594152295,0.021626927752489082,0.40538137113929157,True
TW_4467a039e00b,PS_047,PS_042,SplineRidge,CS4_R9,True,,819,586,20,0.7155067155067155,0.5976234183922884,6,0.18067124817377378,0.06243639022721073,0.11823485794656305,1.8936850371441636,True
TW_4467a039e00b,PS_047,PS_043,SplineRidge,CS4_R9,True,,791,298,20,0.37673830594184576,0.5976234183922884,6,0.14079563635037173,0.07204423706535566,0.06875139928501607,0.9542942237371123,True
TW_4467a039e00b,PS_047,PS_044,SplineRidge,CS4_R9,True,,835,571,21,0.6838323353293413,0.5976234183922884,6,0.1968339363950602,0.07816023156581944,0.11867370482924075,1.5183387056537128,True
TW_4467a039e00b,PS_047,PS_045,SplineRidge,CS4_R9,True,,732,548,20,0.7486338797814208,0.5976234183922884,6,0.15351649611249804,0.04614371610892938,0.10737278000356866,2.326920956043042,True
TW_4467a039e00b,PS_047,PS_046,SplineRidge,CS4_R9,True,,570,487,16,0.8543859649122807,0.5976234183922884,6,0.13235856658619663,0.06806038755372917,0.06429817903246746,0.9447224934137834,True
TW_4467a039e00b,PS_047,PS_048,SplineRidge,CS4_R9,True,,739,132,18,0.17861975642760486,0.5976234183922884,6,0.1204429994928807,0.034974060724687485,0.08546893876819323,2.4437808191904473,True
TW_4467a039e00b,PS_047,PS_049,SplineRidge,CS4_R9,True,,710,477,18,0.671830985915493,0.5976234183922884,6,0.17268757836767384,0.06087647339897874,0.1118111049686951,1.836688275877867,True
