source_plant_id,feature,median,iqr,mad,scale,scale_source,n_source_train,tau,n_support_features,engine_computable
PS_043,ghi_irradiance_wm2,523.8804685922345,555.2207525704999,,555.2207525704999,IQR,2370,0.5142527041119462,6,True
PS_043,gri_irradiance_wm2,89.32328351252914,58.25185428981222,,58.25185428981222,IQR,2370,0.5142527041119462,6,True
PS_043,panel_temperature_celsius,39.80401938502459,15.088406359162935,,15.088406359162935,IQR,2370,0.5142527041119462,6,True
PS_043,ambient_temperature_celsius,30.49791162703761,5.825582039393854,,5.825582039393854,IQR,2370,0.5142527041119462,6,True
PS_043,wind_speed_ms,1.6209976130114652,1.3646801252513252,,1.3646801252513252,IQR,2370,0.5142527041119462,6,True
PS_044,poa_irradiance_wm2,716.5898828782791,609.5591957269693,,609.5591957269693,IQR,2503,0.5641376971789263,6,True
PS_044,ghi_irradiance_wm2,506.4101578169047,538.9974278781731,,538.9974278781731,IQR,2503,0.5641376971789263,6,True
PS_044,gri_irradiance_wm2,52.63537364287589,32.72682410077246,,32.72682410077246,IQR,2503,0.5641376971789263,6,True
PS_044,panel_temperature_celsius,44.698522273951575,16.958284335976074,,16.958284335976074,IQR,2503,0.5641376971789263,6,True
PS_044,ambient_temperature_celsius,28.949442318083836,5.169789819944569,,5.169789819944569,IQR,2503,0.5641376971789263,6,True
PS_044,wind_speed_ms,1.4219527476226295,1.4319656625398272,,1.4319656625398272,IQR,2503,0.5641376971789263,6,True
PS_045,poa_irradiance_wm2,701.1111505253384,610.4847626418987,,610.4847626418987,IQR,2196,0.694784995602642,6,True
PS_045,ghi_irradiance_wm2,484.51322111515464,521.5392860155581,,521.5392860155581,IQR,2196,0.694784995602642,6,True
PS_045,gri_irradiance_wm2,40.11899570754635,18.983464657121157,,18.983464657121157,IQR,2196,0.694784995602642,6,True
PS_045,panel_temperature_celsius,41.8531376493234,14.704338016108842,,14.704338016108842,IQR,2196,0.694784995602642,6,True
PS_045,ambient_temperature_celsius,30.496496536551188,5.693124147057063,,5.693124147057063,IQR,2196,0.694784995602642,6,True
PS_045,wind_speed_ms,2.466457644161238,1.1906257988933535,,1.1906257988933535,IQR,2196,0.694784995602642,6,True
PS_046,poa_irradiance_wm2,690.5997506014807,609.8617847941251,,609.8617847941251,IQR,1710,0.6448333873596003,6,True
PS_046,ghi_irradiance_wm2,540.3939598780433,573.0920063807968,,573.0920063807968,IQR,1710,0.6448333873596003,6,True
PS_046,gri_irradiance_wm2,46.51629952607559,23.124491180801392,,23.124491180801392,IQR,1710,0.6448333873596003,6,True
PS_046,panel_temperature_celsius,43.76088645200744,15.677903022141763,,15.677903022141763,IQR,1710,0.6448333873596003,6,True
PS_046,ambient_temperature_celsius,31.396709506709247,5.357039115299113,,5.357039115299113,IQR,1710,0.6448333873596003,6,True
PS_046,wind_speed_ms,2.671047873018364,1.7355856001427004,,1.7355856001427004,IQR,1710,0.6448333873596003,6,True
