target_plant_id,variant,candidate_id,hyperparameters,alpha,n_knots,donor_equal_mean_val_mae,fit_status,selected,n_donor_train,n_donor_val,runner_up_val_mae,selection_gap
PS_049,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07374278810330609,ok,False,49466,16490,,
PS_049,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07388206575653872,ok,False,49466,16490,,
PS_049,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07376136874629835,ok,False,49466,16490,,
PS_049,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07672252159762115,ok,False,49466,16490,,
PS_049,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07654446025744656,ok,True,49466,16490,0.07656621631796119,2.1756060514632747e-05
PS_049,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07656621631796119,ok,False,49466,16490,,
PS_049,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.08087415463274267,ok,False,49466,16490,,
PS_049,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.10938967486766764,ok,False,49466,16490,,
PS_049,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10304021939650268,ok,False,49466,16490,,
PS_050,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07519354524241453,ok,False,49074,16359,,
PS_050,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07531393284149593,ok,False,49074,16359,,
PS_050,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07514430337294452,ok,True,49074,16359,0.07514574427690666,1.440903962146578e-06
PS_050,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07514574427690666,ok,False,49074,16359,,
PS_050,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07521969701770428,ok,False,49074,16359,,
PS_050,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07516032790342914,ok,False,49074,16359,,
PS_050,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07769804223714308,ok,False,49074,16359,,
PS_050,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07777642135744009,ok,False,49074,16359,,
PS_050,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07757239896913173,ok,True,49074,16359,0.07769804223714308,0.00012564326801134396
PS_050,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.08161492360141026,ok,False,49074,16359,,
PS_050,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.10974678996788799,ok,False,49074,16359,,
PS_050,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10385974799267515,ok,False,49074,16359,,
PS_051,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07588590210618625,ok,False,49356,16453,,
PS_051,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07602147086257136,ok,False,49356,16453,,
PS_051,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07584527528015936,ok,True,49356,16453,0.07584620378041723,9.285002578740542e-07
PS_051,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07584620378041723,ok,False,49356,16453,,
PS_051,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07591991182476908,ok,False,49356,16453,,
PS_051,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07585590293087634,ok,False,49356,16453,,
PS_051,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07881549269836713,ok,False,49356,16453,,
PS_051,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07868409504535209,ok,False,49356,16453,,
PS_051,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07856378506280255,ok,True,49356,16453,0.07868409504535209,0.00012030998254954073
PS_051,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.08275207901446927,ok,False,49356,16453,,
PS_051,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.11261140493373553,ok,False,49356,16453,,
PS_051,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10566233489902674,ok,False,49356,16453,,
