group_id,source_plant_id,target_plant_id,model_family,support_rule,n_supported,n_supported_days,support_retention,twin_mae,local_same_rows_mae,pool_row_mae,pool_bal_mae,otg_twin,otg_pool_row,otg_pool_bal,gain_row_vs_twin,gain_bal_vs_twin,computable,selected_row_hparams,selected_bal_hparams,otg_abs
TW_4467a039e00b,PS_044,PS_046,SplineRidge,CS4,458,16,0.8035087719298246,0.0684385128181217,0.0645251264719968,0.06192028383497783,0.06378929795882286,0.0039133863461248974,-0.0026048426370189753,-0.0007358285131739417,0.006518228983143873,0.004649214859298839,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",0.0039133863461248974
TW_4467a039e00b,PS_044,PS_047,SplineRidge,CS4,312,16,0.5416666666666666,0.10493352214537541,0.0977757531669446,0.08757076759473288,0.08832688084479105,0.0071577689784308035,-0.010204985572211722,-0.009448872322153551,0.017362754550642526,0.016606641300584354,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.0071577689784308035
TW_4467a039e00b,PS_044,PS_048,SplineRidge,CS4,305,18,0.41271989174560214,0.054156077108248865,0.04502423550992257,0.04818033864503942,0.04838210935950504,0.009131841598326293,0.0031561031351168486,0.003357873849582471,0.005975738463209444,0.005773967748743822,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.009131841598326293
TW_4467a039e00b,PS_044,PS_049,SplineRidge,CS4,402,17,0.5661971830985916,0.06380955595983687,0.058529169346318,0.06496103710790126,0.06966263560692298,0.005280386613518866,0.006431867761583256,0.011133466260604984,-0.00115148114806439,-0.005853079647086118,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.005280386613518866
TW_4467a039e00b,PS_044,PS_050,SplineRidge,CS4,424,21,0.5041617122473246,0.06207899670090344,0.056886013473763423,0.05513190633625128,0.06100774204951024,0.005192983227140013,-0.0017541071375121453,0.004121728575746816,0.006947090364652159,0.001071254651393197,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.005192983227140013
TW_4467a039e00b,PS_044,PS_051,SplineRidge,CS4,326,18,0.4364123159303882,0.11214303448568766,0.06900300111091671,0.09681556207930542,0.09832071741558064,0.043140033374770945,0.027812560968388703,0.029317716304663927,0.015327472406382242,0.013822317070107018,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.043140033374770945
TW_4467a039e00b,PS_045,PS_042,SplineRidge,CS4,485,20,0.5921855921855922,0.06404924775655335,0.06255625963044491,0.048592749126612135,0.05709450388680192,0.0014929881261084438,-0.013963510503832773,-0.005461755743642986,0.015456498629941216,0.00695474386975143,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",0.0014929881261084438
TW_4467a039e00b,PS_045,PS_043,SplineRidge,CS4,207,20,0.26169405815423513,0.06873454652633096,0.05945935463507883,0.04707029077513793,0.04729265614700493,0.00927519189125213,-0.012389063859940902,-0.012166698488073897,0.02166425575119303,0.021441890379326027,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.00927519189125213
TW_4467a039e00b,PS_045,PS_044,SplineRidge,CS4,451,21,0.5401197604790419,0.09581380523647272,0.07658408638436323,0.08456363646324755,0.09014938321227348,0.019229718852109487,0.007979550078884318,0.013565296827910245,0.01125016877322517,0.005664422024199242,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 4}",0.019229718852109487
TW_4467a039e00b,PS_045,PS_046,SplineRidge,CS4,470,16,0.8245614035087719,0.07024948277859892,0.0654993823524433,0.062322568855829104,0.06431582773895597,0.004750100426155618,-0.0031768134966142017,-0.0011835546134873337,0.00792691392276982,0.005933655039642952,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",0.004750100426155618
TW_4467a039e00b,PS_045,PS_047,SplineRidge,CS4,417,17,0.7239583333333334,0.0938232423779017,0.12363346499061764,0.0871101596541021,0.08793285901752897,-0.029810222612715945,-0.036523305336515544,-0.035700605973088675,0.006713082723799599,0.005890383360372731,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",-0.029810222612715945
TW_4467a039e00b,PS_045,PS_048,SplineRidge,CS4,170,18,0.23004059539918809,0.05058624730287986,0.03875111708454015,0.041938768550905156,0.04209813420151045,0.011835130218339714,0.003187651466365009,0.0033470171169703022,0.008647478751974705,0.008488113101369411,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.011835130218339714
TW_4467a039e00b,PS_045,PS_049,SplineRidge,CS4,521,18,0.7338028169014085,0.06239643624775356,0.057208563191400094,0.06673011424832244,0.07114976632225567,0.005187873056353466,0.009521551056922345,0.013941203130855576,-0.004333678000568879,-0.00875333007450211,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.005187873056353466
TW_4467a039e00b,PS_045,PS_050,SplineRidge,CS4,586,21,0.6967895362663495,0.06487484946588855,0.06106237453006489,0.059167557225643014,0.06491756703240428,0.003812474935823658,-0.0018948173044218766,0.0038551925023393926,0.0057072922402455345,-4.271756651573477e-05,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.003812474935823658
TW_4467a039e00b,PS_045,PS_051,SplineRidge,CS4,250,19,0.33467202141900937,0.07585917178669803,0.04472176107912063,0.058543541332842224,0.06108554678783708,0.031137410707577397,0.013821780253721591,0.016363785708716445,0.017315630453855806,0.014773624998860951,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.031137410707577397
TW_4467a039e00b,PS_046,PS_042,SplineRidge,CS4,472,20,0.5763125763125763,0.05275732766558639,0.06334456666133155,0.05113636480983666,0.059254544136125985,-0.010587238995745159,-0.01220820185149489,-0.004090022525205565,0.0016209628557497316,-0.0064972164705395935,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",-0.010587238995745159
TW_4467a039e00b,PS_046,PS_043,SplineRidge,CS4,286,20,0.3615676359039191,0.08165932686417189,0.0722420965458347,0.057946431479482516,0.058227508108532874,0.009417230318337189,-0.014295665066352187,-0.014014588437301828,0.023712895384689375,0.023431818755639017,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.009417230318337189
TW_4467a039e00b,PS_046,PS_044,SplineRidge,CS4,463,21,0.5544910179640719,0.07586929096150165,0.07996509633071797,0.08516377895306969,0.09060565707387676,-0.004095805369216318,0.005198682622351722,0.010640560743158792,-0.00929448799156804,-0.01473636611237511,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 4}",-0.004095805369216318
TW_4467a039e00b,PS_046,PS_045,SplineRidge,CS4,502,19,0.6857923497267759,0.043773878052221375,0.04318858068386409,0.03897954398231479,0.045406512865353355,0.0005852973683572876,-0.004209036701549297,0.002217932181489267,0.004794334069906585,-0.0016326348131319793,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.0005852973683572876
TW_4467a039e00b,PS_046,PS_047,SplineRidge,CS4,425,17,0.7378472222222222,0.08676449833264531,0.1264827844748936,0.08419979135537396,0.08527281916128365,-0.0397182861422483,-0.04228299311951965,-0.04120996531360996,0.002564706977271347,0.0014916791713616567,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",-0.0397182861422483
TW_4467a039e00b,PS_046,PS_048,SplineRidge,CS4,82,18,0.11096075778078485,0.05785356947783185,0.049096726477741645,0.055433412022919265,0.05371570582109853,0.008756843000090206,0.00633668554517762,0.004618979343356887,0.002420157454912586,0.004137863656733319,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.008756843000090206
TW_4467a039e00b,PS_046,PS_049,SplineRidge,CS4,484,18,0.6816901408450704,0.06860948959605236,0.05839909252708346,0.0661259663758921,0.07043990453963517,0.010210397068968896,0.007726873848808644,0.012040812012551708,0.0024835232201602525,-0.0018304149435828115,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.010210397068968896
