group_id,source_plant_id,target_plant_id,otg_abs,otg_rel,otg_rel_defined,support_retention,local_same_rows_mae,transfer_mae,retention_tercile,computable,model_family,support_rule
TW_4467a039e00b,PS_047,PS_042,0.11823485794663127,1.8936850371472136,True,0.7155067155067155,0.0624363902271462,0.18067124817377747,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_047,PS_043,0.06875139928502538,0.9542942237373928,True,0.37673830594184576,0.07204423706534424,0.14079563635036962,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_047,PS_044,0.1186737048292433,1.5183387056537043,True,0.6838323353293413,0.07816023156582155,0.19683393639506486,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_047,PS_045,0.10737278000357282,2.3269209560432285,True,0.7486338797814208,0.046143716108927466,0.1535164961125003,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_047,PS_046,0.06429817903246841,0.9447224934137989,True,0.8543859649122807,0.06806038755372908,0.1323585665861975,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_047,PS_048,0.08546893876819055,2.443780819190178,True,0.17861975642760486,0.03497406072469024,0.12044299949288079,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_047,PS_049,0.1118111049686951,1.8366882758778387,True,0.671830985915493,0.06087647339897968,0.1726875783676748,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_047,PS_050,0.1148626912301649,1.9077755658762903,True,0.6373365041617123,0.060207654026329625,0.17507034525649454,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_047,PS_051,0.1065666629733675,2.3588615818828367,True,0.42704149933065594,0.04517715824949181,0.15174382122285932,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_049,PS_042,-0.009538453873604733,-0.15601180197257078,True,0.7081807081807082,0.06113930967403181,0.05160085580042708,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_049,PS_043,-0.014728232054464434,-0.19854073309892148,True,0.5031605562579013,0.0741824200232312,0.05945418796876676,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_049,PS_044,0.006361898608261737,0.08168660830570257,True,0.704191616766467,0.07788178185159894,0.08424368045986068,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_049,PS_045,0.005620504664835005,0.12287427160781961,True,0.7581967213114754,0.045741916442638926,0.05136242110747393,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_049,PS_046,0.0071416636224147095,0.11049499037108494,True,0.9052631578947369,0.06463337024086105,0.07177503386327576,HIGH,True,SplineRidge,CS4
