replicate_id,rho_abs,valid_abs,reason_abs,rho_rel,valid_rel,reason_rel
195,-0.3333899552686711,True,,-0.3779702923579261,True,
196,-0.2602892312339526,True,,-0.29036399335447816,True,
197,-0.14843946534288158,True,,-0.18241736126251532,True,
198,-0.02860273114997848,True,,-0.05217748562037798,True,
199,-0.27986536590496724,True,,-0.27713061084961477,True,
200,-0.18168855893387711,True,,-0.19247405188825784,True,
201,-0.24963931573041429,True,,-0.2744177525362402,True,
202,-0.13027122300265698,True,,-0.15328966406229447,True,
203,-0.28522180418234316,True,,-0.2733222504156094,True,
204,-0.1448951653577347,True,,-0.1532050820183971,True,
205,-0.1354194057323166,True,,-0.14872628467159102,True,
206,-0.25533932184503505,True,,-0.2751424633700529,True,
207,-0.2480335394274715,True,,-0.28179468186421974,True,
208,-0.21124848634431906,True,,-0.2540550546458624,True,
209,-0.5294453110585552,True,,-0.5352823764236233,True,
210,-0.2828942173558287,True,,-0.294133129787066,True,
211,-0.060269709543568466,True,,-0.055695020746887966,True,
212,-0.21048438495857233,True,,-0.21810070108349267,True,
213,-0.33701701069582035,True,,-0.3468313796687322,True,
214,-0.29269401072011186,True,,-0.33639011885341413,True,
215,-0.33452244130334197,True,,-0.3896890905562936,True,
216,-0.2949909866115736,True,,-0.2874764537886614,True,
217,-0.3719033562916803,True,,-0.41003607740242703,True,
218,-0.23349905982088792,True,,-0.21554004525607928,True,
219,-0.258642021131814,True,,-0.2794521564842996,True,
220,-0.3322021476595609,True,,-0.32167096835866554,True,
221,-0.5037246021728908,True,,-0.5202068948449526,True,
222,-0.27314665493818113,True,,-0.3208620436886087,True,
223,-0.1869360481940389,True,,-0.20219398626785573,True,
224,-0.4334970222547278,True,,-0.5052972521157664,True,
225,-0.282064674018474,True,,-0.3253398594302598,True,
226,-0.3353404036948341,True,,-0.3535408826548067,True,
227,-0.5835472989981373,True,,-0.5827082179596905,True,
228,-0.08592858099532505,True,,-0.09854394009936668,True,
229,-0.2571975654790399,True,,-0.2649251179648499,True,
230,-0.3051342323394779,True,,-0.31850797971050354,True,
231,-0.09309444406411674,True,,-0.13129455946641108,True,
232,-0.27631447016266497,True,,-0.28951894672703293,True,
233,-0.27205779538569097,True,,-0.3262060125844791,True,
234,-0.28451915559030494,True,,-0.313721657544957,True,
235,-0.2609052693322905,True,,-0.32065695571414604,True,
236,-0.3637463396985834,True,,-0.44383769177718235,True,
237,-0.632454700524605,True,,-0.6565285957967236,True,
238,-0.24831108159479698,True,,-0.2857306432775322,True,
239,-0.4059364273596444,True,,-0.4121437683294099,True,
240,-0.12525980688784236,True,,-0.1378883948538504,True,
241,-0.2531643533782588,True,,-0.2999983916882448,True,
242,-0.30420076057522166,True,,-0.3329618441505118,True,
243,-0.3415153839597716,True,,-0.36085034883296196,True,
244,-0.37963232410137027,True,,-0.41956298948593695,True,
245,-0.46063382099569566,True,,-0.46645695384116653,True,
246,-0.18253692310017988,True,,-0.2082860929288043,True,
247,-0.080408875844445,True,,-0.11739999493965539,True,
248,-0.3629466312171714,True,,-0.40866351079696517,True,
249,-0.12785777466113107,True,,-0.12113219274689022,True,
250,-0.23741465787663765,True,,-0.2694546491537081,True,
251,-0.3887909906625347,True,,-0.37303275202041686,True,
252,-0.5230428781815518,True,,-0.5545634691155267,True,
253,-0.3601777411301221,True,,-0.39819968391396965,True,
254,-0.18441318173058394,True,,-0.21452302948545,True,
255,-0.48532603382539835,True,,-0.4864209600156418,True,
256,-0.31805476788463094,True,,-0.3248804990682978,True,
257,-0.32880657822083603,True,,-0.36818934769956274,True,
258,-0.3094857096558569,True,,-0.31258482043387553,True,
259,-0.17091402641601167,True,,-0.170995057126651,True,
260,-0.16429758529670543,True,,-0.20177925505914557,True,
261,-0.10954193992049781,True,,-0.14979621274383187,True,
262,-0.17463536584588107,True,,-0.1767526992812546,True,
263,-0.31038735787242244,True,,-0.3340682212372326,True,
264,-0.1733838850479498,True,,-0.1789594418071176,True,
265,-0.31533961726101933,True,,-0.3492974897687073,True,
266,-0.2969617580355048,True,,-0.33596621568780793,True,
267,-0.2833363449098334,True,,-0.344454483032778,True,
268,-0.524761134311389,True,,-0.5607495025909002,True,
269,-0.036466209907552304,True,,-0.052536065121049934,True,
270,-0.14846029173419772,True,,-0.17021880064829822,True,
271,-0.5686964314656446,True,,-0.5946953446023892,True,
272,-0.18018664752333094,True,,-0.1829962620986707,True,
273,-0.1315837913171527,True,,-0.13076862394488417,True,
274,-0.24950120015799548,True,,-0.2803305751643254,True,
275,-0.1317884995708795,True,,-0.18238740251501923,True,
276,-0.28233049141296546,True,,-0.2966509689956408,True,
277,-0.04309419130011954,True,,-0.06929108333164495,True,
278,-0.2730159953748314,True,,-0.30839853536326844,True,
279,-0.16901647698318328,True,,-0.2318668252080856,True,
280,-0.26421227029556466,True,,-0.28429599463759503,True,
281,-0.22089000839630563,True,,-0.22727120067170445,True,
282,-0.27915869980879543,True,,-0.29371708429774246,True,
283,-0.17790523297113842,True,,-0.19540108921571206,True,
284,-0.2595460592879393,True,,-0.24587525792085912,True,
285,-0.08809867178723099,True,,-0.09184348283362681,True,
286,-0.4167509289151489,True,,-0.4923311201803009,True,
287,-0.3544995150834567,True,,-0.35225358583022814,True,
288,-0.33630743738448793,True,,-0.31965776559811354,True,
289,-0.38017030750769853,True,,-0.4490884644855354,True,
290,-0.18311026131293817,True,,-0.1798597833014659,True,
291,-0.3177638525986388,True,,-0.33858995999722524,True,
292,-0.26276133965194537,True,,-0.26491179164509576,True,
293,-0.24532722886365912,True,,-0.2650896786674991,True,
294,-0.2397217890646271,True,,-0.25724610776960966,True,
295,-0.15167451533478354,True,,-0.14732388305882915,True,
296,-0.4071831133825743,True,,-0.4006370987503063,True,
297,-0.3713343371334337,True,,-0.3844156051082272,True,
298,-0.05926803820868914,True,,-0.08661784220176051,True,
299,-0.4071318767168166,True,,-0.41215191149416597,True,
300,-0.4479586406143085,True,,-0.468004764439038,True,
301,-0.34299896714917755,True,,-0.37261249595338297,True,
302,-0.4446402884985514,True,,-0.42792601146700704,True,
303,-0.24463903022653466,True,,-0.24169394811922323,True,
304,-0.36936242386863,True,,-0.3767018734099144,True,
305,-0.2597530213852279,True,,-0.27529302118262033,True,
306,-0.10691527023837621,True,,-0.10574156880505713,True,
307,-0.37917055237419944,True,,-0.4023075322353159,True,
308,-0.24765904544838743,True,,-0.2608560522142442,True,
309,-0.5566876500746317,True,,-0.5784281913167629,True,
310,-0.09946212052146959,True,,-0.1296887187123307,True,
311,-0.4711053532596123,True,,-0.4949027591418745,True,
312,-0.2996917156787721,True,,-0.34486302118634804,True,
313,-0.06738381420793772,True,,-0.0824807343310276,True,
314,-0.2651943963789581,True,,-0.2925672835342308,True,
315,-0.23038569176826326,True,,-0.28317303052723003,True,
316,-0.21658220800422764,True,,-0.27301380592437413,True,
317,-0.30018912860745306,True,,-0.28803586438778367,True,
318,-0.3401494852630094,True,,-0.40294034691862923,True,
319,-0.28797946931854634,True,,-0.2803262911873883,True,
320,-0.2830912375343347,True,,-0.3131325629160377,True,
321,-0.14835028835919903,True,,-0.18832454642211827,True,
322,-0.4582201200898997,True,,-0.4845862265606655,True,
323,-0.2040223015646568,True,,-0.2279278515079775,True,
324,-0.21201402880382061,True,,-0.2700544735467502,True,
325,-0.10144392828992604,True,,-0.1305908199030673,True,
326,-0.2000688809878344,True,,-0.2131157504482329,True,
327,-0.36280193473456207,True,,-0.3795715944898289,True,
328,-0.39805683395426983,True,,-0.4434217254730075,True,
329,-0.5551416297489596,True,,-0.5687340582628541,True,
330,-0.2725524431286217,True,,-0.2903413547913662,True,
331,-0.2988817140453747,True,,-0.3176971226403424,True,
332,-0.15844492240801128,True,,-0.19356753548108574,True,
333,-0.2754191312869693,True,,-0.2837142557138357,True,
334,-0.24282292187488339,True,,-0.28500108206532687,True,
335,-0.13016192633610202,True,,-0.14120312106720362,True,
336,-0.19230659257917862,True,,-0.25844206593532276,True,
337,-0.5112814857602969,True,,-0.49097656181624044,True,
338,-0.4412214899242261,True,,-0.4366927679599246,True,
339,-0.39420536051340127,True,,-0.4350132125330313,True,
340,-0.4210771459015243,True,,-0.4321153073138985,True,
341,-0.26677973941870325,True,,-0.3035695011949734,True,
342,-0.391894183483127,True,,-0.4191807852991506,True,
343,-0.1844875257970183,True,,-0.15556299253380504,True,
344,-0.16907198239334184,True,,-0.21023007551131404,True,
345,-0.25367390137435814,True,,-0.25750225346121514,True,
346,-0.06934585057923093,True,,-0.1077762619372442,True,
