target_id,twin_source_id,control_id,target_state,common_row_count,twin_otg_common_rows,control_otg_common_rows,contrast_control_minus_twin,computable,reason,orientation
PS_004,PS_020,PS_039,SP,444,-0.0011175430730279538,0.024491899192666616,0.02560944226569457,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_039,SP,441,0.017969425548888876,0.024555728962912013,0.006586303414023137,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_039,SP,649,0.002518990699054594,0.02762710052140321,0.025108109822348616,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_039,SP,384,0.00032733648088586337,0.025121925576827357,0.024794589095941493,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_039,SP,539,0.01019352374488509,0.026040805915346635,0.015847282170461545,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_039,SP,533,-0.0011341711099320355,0.02453784677060365,0.025672017880535684,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_040,SP,226,0.00028850725379265044,0.010874488319362687,0.010585981065570037,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_040,SP,444,-0.0011175430730279538,0.014496589702867074,0.015614132775895028,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_040,SP,441,0.017969425548888876,0.014364095091628892,-0.0036053304572599837,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_040,SP,649,0.002518990699054594,0.01351808740024944,0.010999096701194845,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_040,SP,384,0.00032733648088586337,0.014648625381619377,0.014321288900733514,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_040,SP,539,0.01019352374488509,0.014251608803234516,0.0040580850583494255,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_040,SP,533,-0.0011341711099320355,0.013743924905793094,0.01487809601572513,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_004,PS_001,SP,2079,-0.00646258403427194,0.018590777391110813,0.025053361425382753,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_020,PS_001,SP,1412,0.0002774008476112283,0.017296180869781415,0.017018780022170187,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_022,PS_001,SP,1394,0.04830509332804504,0.016800457823812315,-0.03150463550423273,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_023,PS_001,SP,1194,-0.002927549695056493,0.009579449432285628,0.01250699912734212,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_024,PS_001,SP,573,-0.0005387396536181421,0.005055288212006764,0.0055940278656249065,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_026,PS_001,SP,1255,0.01205513073536349,0.01692386628120532,0.004868735545841829,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_030,PS_001,SP,1690,-0.005379018094872172,0.01937648597433783,0.024755504069210003,True,ok,CONTROL_MINUS_TWIN
PS_017,PS_004,PS_008,SP,2079,-0.00646258403427194,0.014114733525263295,0.020577317559535235,True,ok,CONTROL_MINUS_TWIN
