group_id,source_plant_id,target_plant_id,rule_id,k,q,computable,reason,n_source_train,n_source_train_days,n_eligible_target_test,n_target_test_days,n_supported,n_supported_days,support_retention,threshold
TW_4467a039e00b,PS_046,PS_048,CS4,5,0.95,True,,1710,41,739,18,82,18,0.11096075778078485,0.6448333873596003
TW_4467a039e00b,PS_046,PS_049,CS3,5,0.9,True,,1710,41,710,18,370,17,0.5211267605633803,0.5523083941386899
TW_4467a039e00b,PS_046,PS_049,CS4,5,0.95,True,,1710,41,710,18,484,18,0.6816901408450704,0.6448333873596003
TW_4467a039e00b,PS_046,PS_050,CS3,5,0.9,True,,1710,41,841,21,451,21,0.5362663495838288,0.5523083941386899
TW_4467a039e00b,PS_046,PS_050,CS4,5,0.95,True,,1710,41,841,21,573,21,0.6813317479191439,0.6448333873596003
TW_4467a039e00b,PS_046,PS_051,CS3,5,0.9,True,,1710,41,747,19,186,19,0.24899598393574296,0.5523083941386899
TW_4467a039e00b,PS_046,PS_051,CS4,5,0.95,True,,1710,41,747,19,294,19,0.39357429718875503,0.6448333873596003
TW_4467a039e00b,PS_047,PS_042,CS3,5,0.9,True,,1725,45,819,21,538,20,0.6568986568986569,0.5347011349188023
TW_4467a039e00b,PS_047,PS_042,CS4,5,0.95,True,,1725,45,819,21,586,20,0.7155067155067155,0.5976234183922884
TW_4467a039e00b,PS_047,PS_043,CS3,5,0.9,True,,1725,45,791,20,178,20,0.225031605562579,0.5347011349188023
TW_4467a039e00b,PS_047,PS_043,CS4,5,0.95,True,,1725,45,791,20,298,20,0.37673830594184576,0.5976234183922884
TW_4467a039e00b,PS_047,PS_044,CS3,5,0.9,True,,1725,45,835,21,457,21,0.5473053892215569,0.5347011349188023
TW_4467a039e00b,PS_047,PS_044,CS4,5,0.95,True,,1725,45,835,21,571,21,0.6838323353293413,0.5976234183922884
TW_4467a039e00b,PS_047,PS_045,CS3,5,0.9,True,,1725,45,732,20,494,19,0.674863387978142,0.5347011349188023
TW_4467a039e00b,PS_047,PS_045,CS4,5,0.95,True,,1725,45,732,20,548,20,0.7486338797814208,0.5976234183922884
TW_4467a039e00b,PS_047,PS_046,CS3,5,0.9,True,,1725,45,570,16,435,16,0.7631578947368421,0.5347011349188023
TW_4467a039e00b,PS_047,PS_046,CS4,5,0.95,True,,1725,45,570,16,487,16,0.8543859649122807,0.5976234183922884
TW_4467a039e00b,PS_047,PS_048,CS3,5,0.9,True,,1725,45,739,18,78,17,0.10554803788903924,0.5347011349188023
TW_4467a039e00b,PS_047,PS_048,CS4,5,0.95,True,,1725,45,739,18,132,18,0.17861975642760486,0.5976234183922884
TW_4467a039e00b,PS_047,PS_049,CS3,5,0.9,True,,1725,45,710,18,382,18,0.5380281690140845,0.5347011349188023
TW_4467a039e00b,PS_047,PS_049,CS4,5,0.95,True,,1725,45,710,18,477,18,0.671830985915493,0.5976234183922884
TW_4467a039e00b,PS_047,PS_050,CS3,5,0.9,True,,1725,45,841,21,418,21,0.49702734839476814,0.5347011349188023
TW_4467a039e00b,PS_047,PS_050,CS4,5,0.95,True,,1725,45,841,21,536,21,0.6373365041617123,0.5976234183922884
TW_4467a039e00b,PS_047,PS_051,CS3,5,0.9,True,,1725,45,747,19,201,19,0.26907630522088355,0.5347011349188023
TW_4467a039e00b,PS_047,PS_051,CS4,5,0.95,True,,1725,45,747,19,319,19,0.42704149933065594,0.5976234183922884
TW_4467a039e00b,PS_048,PS_042,CS3,5,0.9,False,degenerate_iqr:wind_speed_ms,,,819,21,,,,
TW_4467a039e00b,PS_048,PS_042,CS4,5,0.95,False,degenerate_iqr:wind_speed_ms,,,819,21,,,,
TW_4467a039e00b,PS_048,PS_043,CS3,5,0.9,False,degenerate_iqr:wind_speed_ms,,,791,20,,,,
TW_4467a039e00b,PS_048,PS_043,CS4,5,0.95,False,degenerate_iqr:wind_speed_ms,,,791,20,,,,
TW_4467a039e00b,PS_048,PS_044,CS3,5,0.9,False,degenerate_iqr:wind_speed_ms,,,835,21,,,,
TW_4467a039e00b,PS_048,PS_044,CS4,5,0.95,False,degenerate_iqr:wind_speed_ms,,,835,21,,,,
TW_4467a039e00b,PS_048,PS_045,CS3,5,0.9,False,degenerate_iqr:wind_speed_ms,,,732,20,,,,
TW_4467a039e00b,PS_048,PS_045,CS4,5,0.95,False,degenerate_iqr:wind_speed_ms,,,732,20,,,,
TW_4467a039e00b,PS_048,PS_046,CS3,5,0.9,False,degenerate_iqr:wind_speed_ms,,,570,16,,,,
TW_4467a039e00b,PS_048,PS_046,CS4,5,0.95,False,degenerate_iqr:wind_speed_ms,,,570,16,,,,
TW_4467a039e00b,PS_048,PS_047,CS3,5,0.9,False,degenerate_iqr:wind_speed_ms,,,576,17,,,,
TW_4467a039e00b,PS_048,PS_047,CS4,5,0.95,False,degenerate_iqr:wind_speed_ms,,,576,17,,,,
TW_4467a039e00b,PS_048,PS_049,CS3,5,0.9,False,degenerate_iqr:wind_speed_ms,,,710,18,,,,
TW_4467a039e00b,PS_048,PS_049,CS4,5,0.95,False,degenerate_iqr:wind_speed_ms,,,710,18,,,,
TW_4467a039e00b,PS_048,PS_050,CS3,5,0.9,False,degenerate_iqr:wind_speed_ms,,,841,21,,,,
TW_4467a039e00b,PS_048,PS_050,CS4,5,0.95,False,degenerate_iqr:wind_speed_ms,,,841,21,,,,
TW_4467a039e00b,PS_048,PS_051,CS3,5,0.9,False,degenerate_iqr:wind_speed_ms,,,747,19,,,,
TW_4467a039e00b,PS_048,PS_051,CS4,5,0.95,False,degenerate_iqr:wind_speed_ms,,,747,19,,,,
TW_4467a039e00b,PS_049,PS_042,CS3,5,0.9,True,,2129,54,819,21,496,20,0.6056166056166056,0.571663022481899
TW_4467a039e00b,PS_049,PS_042,CS4,5,0.95,True,,2129,54,819,21,580,20,0.7081807081807082,0.6553870982781045
TW_4467a039e00b,PS_049,PS_043,CS3,5,0.9,True,,2129,54,791,20,205,20,0.25916561314791403,0.571663022481899
TW_4467a039e00b,PS_049,PS_043,CS4,5,0.95,True,,2129,54,791,20,398,20,0.5031605562579013,0.6553870982781045
TW_4467a039e00b,PS_049,PS_044,CS3,5,0.9,True,,2129,54,835,21,435,21,0.5209580838323353,0.571663022481899
TW_4467a039e00b,PS_049,PS_044,CS4,5,0.95,True,,2129,54,835,21,588,21,0.704191616766467,0.6553870982781045
TW_4467a039e00b,PS_049,PS_045,CS3,5,0.9,True,,2129,54,732,20,487,20,0.6653005464480874,0.571663022481899
TW_4467a039e00b,PS_049,PS_045,CS4,5,0.95,True,,2129,54,732,20,555,20,0.7581967213114754,0.6553870982781045
TW_4467a039e00b,PS_049,PS_046,CS3,5,0.9,True,,2129,54,570,16,448,16,0.7859649122807018,0.571663022481899
TW_4467a039e00b,PS_049,PS_046,CS4,5,0.95,True,,2129,54,570,16,516,16,0.9052631578947369,0.6553870982781045
TW_4467a039e00b,PS_049,PS_047,CS3,5,0.9,True,,2129,54,576,17,350,17,0.6076388888888888,0.571663022481899
TW_4467a039e00b,PS_049,PS_047,CS4,5,0.95,True,,2129,54,576,17,428,17,0.7430555555555556,0.6553870982781045
TW_4467a039e00b,PS_049,PS_048,CS3,5,0.9,True,,2129,54,739,18,108,18,0.14614343707713126,0.571663022481899
TW_4467a039e00b,PS_049,PS_048,CS4,5,0.95,True,,2129,54,739,18,162,18,0.21921515561569688,0.6553870982781045
TW_4467a039e00b,PS_049,PS_050,CS3,5,0.9,True,,2129,54,841,21,474,21,0.5636147443519619,0.571663022481899
TW_4467a039e00b,PS_049,PS_050,CS4,5,0.95,True,,2129,54,841,21,587,21,0.6979785969084423,0.6553870982781045
TW_4467a039e00b,PS_049,PS_051,CS3,5,0.9,True,,2129,54,747,19,124,19,0.16599732262382866,0.571663022481899
TW_4467a039e00b,PS_049,PS_051,CS4,5,0.95,True,,2129,54,747,19,262,19,0.3507362784471218,0.6553870982781045
