group_id,source_plant_id,target_plant_id,model_family,analysis_role,support_rule,n_supported,n_supported_days,support_retention,transfer_mae,transfer_rmse,transfer_r2,transfer_bias,local_same_rows_mae,local_same_rows_rmse,local_same_rows_r2,local_same_rows_bias
TW_4467a039e00b,PS_044,PS_045,SplineRidge,primary,CS4,429,19,0.5860655737704918,0.05065660050477117,0.08312416692831827,0.9258184108068476,0.014158867165169137,0.04703737671113238,0.08403837644854155,0.9241777219397576,0.014102842474764017
TW_4467a039e00b,PS_044,PS_046,HistGradientBoosting,r1_frozen_input,CS4,458,16,0.8035087719298246,0.06867643853548591,0.11049246654637056,0.8578062913297095,0.021933910832159224,0.06740819833431863,0.10952640251990366,0.8602818936609702,0.03166470935082517
TW_4467a039e00b,PS_044,PS_046,SplineRidge,primary,CS4,458,16,0.8035087719298246,0.0684385128181217,0.10335714683846066,0.8755783177822659,0.020049632082119885,0.0645251264719968,0.100248987678837,0.8829490248756885,0.019118918835563846
TW_4467a039e00b,PS_044,PS_047,HistGradientBoosting,r1_frozen_input,CS4,312,16,0.5416666666666666,0.09731515132480799,0.1359534506084993,0.7909210669360486,0.06992391734028129,0.08938801518164546,0.12714473322462075,0.8171366989456668,-0.057284270466061146
TW_4467a039e00b,PS_044,PS_047,SplineRidge,primary,CS4,312,16,0.5416666666666666,0.10493352214537541,0.1413622012636587,0.773954219742075,0.07505797109281796,0.0977757531669446,0.1349707020740466,0.7939328239763168,-0.06933682862280632
TW_4467a039e00b,PS_044,PS_048,HistGradientBoosting,r1_frozen_input,CS4,305,18,0.41271989174560214,0.06299291589286377,0.09424830444755396,0.8794460081990707,-0.007446715809136204,0.04961570807564953,0.08273331442130182,0.9071043559712251,0.004649625689851734
TW_4467a039e00b,PS_044,PS_048,SplineRidge,primary,CS4,305,18,0.41271989174560214,0.054156077108248865,0.08535371059349156,0.9011266348417546,-0.020326879093706996,0.04502423550992257,0.08137625462770039,0.9101268635064292,-0.0005493469649753291
TW_4467a039e00b,PS_044,PS_049,HistGradientBoosting,r1_frozen_input,CS4,402,17,0.5661971830985916,0.06608411760775378,0.11247008716403109,0.8412351322255954,-0.004114881570895553,0.05590971486158277,0.10623369025035916,0.8583538162054651,0.00308082659389923
TW_4467a039e00b,PS_044,PS_049,SplineRidge,primary,CS4,402,17,0.5661971830985916,0.06380955595983687,0.1094403041528908,0.8496737148665884,-0.010313358754923792,0.058529169346318,0.10436751842002723,0.8632866085279515,0.003151099088188258
TW_4467a039e00b,PS_044,PS_050,HistGradientBoosting,r1_frozen_input,CS4,424,21,0.5041617122473246,0.06579725802448495,0.11567900943964467,0.8396000404442641,0.01295698524190973,0.0595736610950188,0.10641167861531632,0.8642706652501997,0.011695723669830977
TW_4467a039e00b,PS_044,PS_050,SplineRidge,primary,CS4,424,21,0.5041617122473246,0.06207899670090344,0.11121043404370815,0.8517529009250833,0.011391067689696001,0.056886013473763423,0.10369730839475852,0.871106772114977,-8.398127166817565e-05
TW_4467a039e00b,PS_044,PS_051,HistGradientBoosting,r1_frozen_input,CS4,326,18,0.4364123159303882,0.10136470269061978,0.17647134778344256,0.7204351267718518,-0.03523125255795071,0.06721678498547888,0.17430763554954326,0.7272485797453772,0.01784802251534925
TW_4467a039e00b,PS_044,PS_051,SplineRidge,primary,CS4,326,18,0.4364123159303882,0.11214303448568766,0.17676394644634696,0.7195072920416228,-0.05407529035950871,0.06900300111091671,0.1689943937177294,0.7436231590487306,0.010432450463648437
TW_4467a039e00b,PS_045,PS_042,HistGradientBoosting,r1_frozen_input,CS4,485,20,0.5921855921855922,0.044046837970203076,0.07160874835983554,0.9341943667178566,-0.0040330391555357115,0.05729585070933344,0.07929559815675598,0.9193082626356716,-0.037543350864859305
TW_4467a039e00b,PS_045,PS_042,SplineRidge,primary,CS4,485,20,0.5921855921855922,0.06404924775655335,0.08425513207202955,0.9088988971048098,-0.02484865687336318,0.06255625963044491,0.08333131780627107,0.9108856985753918,-0.04447875057316632
TW_4467a039e00b,PS_045,PS_043,HistGradientBoosting,r1_frozen_input,CS4,207,20,0.26169405815423513,0.05942946418751857,0.09680884349498207,0.8859029710580262,0.021927841757479586,0.06397315010549691,0.10400472161253714,0.868310732044145,-0.024568491505643174
TW_4467a039e00b,PS_045,PS_043,SplineRidge,primary,CS4,207,20,0.26169405815423513,0.06873454652633096,0.10357612102554813,0.8693938713191646,0.02173225010987298,0.05945935463507883,0.09470332220428901,0.8908120529452134,-0.00956467088198367
TW_4467a039e00b,PS_045,PS_044,HistGradientBoosting,r1_frozen_input,CS4,451,21,0.5401197604790419,0.08403780638450503,0.12494645881088143,0.8219447693594357,0.0015581754162022445,0.07769822068779847,0.12074832348895345,0.8337088826812492,-0.024565811990944965
TW_4467a039e00b,PS_045,PS_044,SplineRidge,primary,CS4,451,21,0.5401197604790419,0.09581380523647272,0.13018415146738332,0.8067039115645145,-0.009437195827080793,0.07658408638436323,0.11446523271216649,0.8505644166309111,-0.030475113964013676
TW_4467a039e00b,PS_045,PS_046,HistGradientBoosting,r1_frozen_input,CS4,470,16,0.8245614035087719,0.06477036960868074,0.10832175387746992,0.8592412146956018,0.015209059566425353,0.0673213816246208,0.10863222592450619,0.8584331720715941,0.026837015313478974
