group_id,plant_a,plant_b,ed_supported_a_to_b,ed_supported_b_to_a,mmd2_supported_a_to_b,mmd2_supported_b_to_a,a_ed,a_mmd,a_otg,abs_a_ed,abs_a_mmd,abs_a_otg
TW_4467a039e00b,PS_044,PS_051,0.24151395899555883,0.92308009413208,0.06327796797611795,0.2544429070647576,-0.6815661351365212,-0.19116493908863963,0.017412725631376302,0.6815661351365212,0.19116493908863963,0.017412725631376302
TW_4467a039e00b,PS_045,PS_046,0.2500679390880549,0.27120075140577904,0.059960457823780455,0.06087438387003363,-0.021132812317724126,-0.0009139260462531773,0.00416480305779833,0.021132812317724126,0.0009139260462531773,0.00416480305779833
TW_4467a039e00b,PS_045,PS_047,0.22424268317814766,0.1317059387197188,0.05390526566363385,0.0312860631570262,0.09253674445842885,0.02261920250660765,-0.13718300261628877,0.09253674445842885,0.02261920250660765,0.13718300261628877
TW_4467a039e00b,PS_045,PS_049,0.31772327663676725,0.11500539978643043,0.08056093204780757,0.02424203366079203,0.20271787685033682,0.05631889838701554,-0.00043263160848153875,0.20271787685033682,0.05631889838701554,0.00043263160848153875
TW_4467a039e00b,PS_045,PS_050,0.2816045142207344,0.13991753658123662,0.07115275989598868,0.031647160197420865,0.14168697763949778,0.03950559969856782,0.0027571046108156236,0.14168697763949778,0.03950559969856782,0.0027571046108156236
TW_4467a039e00b,PS_045,PS_051,0.3323991017493375,0.9656676242295084,0.08379293091216122,0.26345054622908415,-0.6332685224801708,-0.17965761531692293,0.02493663055749732,0.6332685224801708,0.17965761531692293,0.02493663055749732
TW_4467a039e00b,PS_046,PS_047,0.37488266209634236,0.12040714183332257,0.09387243012906543,0.03216171815587843,0.2544755202630198,0.061710711973187005,-0.10401646517471672,0.2544755202630198,0.061710711973187005,0.10401646517471672
TW_4467a039e00b,PS_046,PS_049,0.4571546269333244,0.1333906799364748,0.11831863754892047,0.03248093136182506,0.3237639469968496,0.08583770618709541,0.0030687334465541866,0.3237639469968496,0.08583770618709541,0.0030687334465541866
TW_4467a039e00b,PS_046,PS_050,0.44849263280781626,0.10746768045077304,0.11551163844462842,0.027132074463398048,0.3410249523570432,0.08837956398123037,0.001954597430107688,0.3410249523570432,0.08837956398123037,0.001954597430107688
TW_4467a039e00b,PS_046,PS_051,0.3202157602988245,1.0847255658022892,0.08279894118472875,0.301732975484613,-0.7645098055034647,-0.21893403429988423,0.02323538283754218,0.7645098055034647,0.21893403429988423,0.02323538283754218
TW_4467a039e00b,PS_047,PS_049,0.21009098512585056,0.19390632946293596,0.05762172253468667,0.047286608172025124,0.016184655662914604,0.010335114362661546,0.12882734996330408,0.016184655662914604,0.010335114362661546,0.12882734996330408
TW_4467a039e00b,PS_047,PS_050,0.20507131606690088,0.14282212156273544,0.05721804833489097,0.036450014906433736,0.06224919450416544,0.020768033428457233,0.15186303328509856,0.06224919450416544,0.020768033428457233,0.15186303328509856
TW_4467a039e00b,PS_047,PS_051,0.20497202381398139,1.4158586948399963,0.05728962371220914,0.3950362318978128,-1.2108866710260149,-0.33774660818560365,0.09468134565657335,1.2108866710260149,0.33774660818560365,0.09468134565657335
TW_4467a039e00b,PS_049,PS_050,0.22097962192738474,0.18363329669867,0.05358001877611285,0.046121129378601466,0.03734632522871473,0.007458889397511381,0.00303119432113675,0.03734632522871473,0.007458889397511381,0.00303119432113675
TW_4467a039e00b,PS_049,PS_051,0.2351227948547221,1.2240311279983456,0.057539128212004576,0.34440437392616796,-0.9889083331436235,-0.2868652457141634,0.018256868350896564,0.9889083331436235,0.2868652457141634,0.018256868350896564
TW_4467a039e00b,PS_050,PS_051,0.23368468305161239,1.3669264008289115,0.05918535743731268,0.38024963930635236,-1.133241717777299,-0.3210642818690397,0.004654716284435721,1.133241717777299,0.3210642818690397,0.004654716284435721
TW_88a108921af7,PS_035,PS_039,0.5644816710566742,0.43699304927950533,0.1462667291070967,0.12432677449652951,0.1274886217771689,0.02193995461056719,-0.008665867873552488,0.1274886217771689,0.02193995461056719,0.008665867873552488
