group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_source_recent_half,n_target_recent_half,n_eligible_target_test,n_supported,n_supported_days,support_retention,threshold,transfer_mae,local_same_rows_mae,otg_abs
TW_4467a039e00b,PS_046,PS_049,SplineRidge,CS4,True,,855,1065,710,505,18,0.7112676056338029,0.7102626453300122,0.059923457569131464,0.05916629622707899,0.0007571613420524759
TW_4467a039e00b,PS_046,PS_050,SplineRidge,CS4,True,,855,1261,841,580,21,0.6896551724137931,0.7102626453300122,0.059843335991481277,0.06272641094368953,-0.002883074952208249
TW_4467a039e00b,PS_046,PS_051,SplineRidge,CS4,True,,855,1120,747,174,19,0.23293172690763053,0.7102626453300122,0.0559947228305033,0.045491991472621965,0.010502731357881337
TW_4467a039e00b,PS_047,PS_042,SplineRidge,CS4,True,,863,1228,819,597,20,0.7289377289377289,0.6973182091302335,0.1805753058385291,0.0808278702617495,0.0997474355767796
TW_4467a039e00b,PS_047,PS_043,SplineRidge,CS4,True,,863,1185,791,271,20,0.34260429835651074,0.6973182091302335,0.12201839089724112,0.06769388970106703,0.05432450119617409
TW_4467a039e00b,PS_047,PS_044,SplineRidge,CS4,True,,863,1252,835,610,21,0.7305389221556886,0.6973182091302335,0.19823641406011253,0.07656428427621732,0.1216721297838952
TW_4467a039e00b,PS_047,PS_045,SplineRidge,CS4,True,,863,1098,732,562,20,0.76775956284153,0.6973182091302335,0.15285723553796166,0.04670197397459635,0.1061552615633653
TW_4467a039e00b,PS_047,PS_046,SplineRidge,CS4,True,,863,855,570,497,16,0.8719298245614036,0.6973182091302335,0.13326229938466522,0.06554290896655704,0.06771939041810818
TW_4467a039e00b,PS_047,PS_048,SplineRidge,CS4,True,,863,1108,739,153,18,0.2070365358592693,0.6973182091302335,0.13599186442991462,0.03581760623554414,0.10017425819437048
TW_4467a039e00b,PS_047,PS_049,SplineRidge,CS4,True,,863,1065,710,523,18,0.7366197183098592,0.6973182091302335,0.17578311169971791,0.059543449195221726,0.11623966250449619
TW_4467a039e00b,PS_047,PS_050,SplineRidge,CS4,True,,863,1261,841,585,21,0.6956004756242569,0.6973182091302335,0.17972616337598382,0.06592923636442122,0.1137969270115626
TW_4467a039e00b,PS_047,PS_051,SplineRidge,CS4,True,,863,1120,747,255,19,0.3413654618473896,0.6973182091302335,0.1318924291292041,0.0462956367966267,0.08559679233257739
TW_4467a039e00b,PS_048,PS_042,SplineRidge,CS4,False,degenerate_iqr:wind_speed_ms,1108,1228,,,,,,,,
TW_4467a039e00b,PS_048,PS_043,SplineRidge,CS4,False,degenerate_iqr:wind_speed_ms,1108,1185,,,,,,,,
