group_id,plant_a,plant_b,level,otg_a_to_b,otg_b_to_a,asymmetry_signed,asymmetry_abs
TW_4467a039e00b,PS_044,PS_049,k2,0.006114579188829426,0.0028298656617171125,0.0032847135271123137,0.0032847135271123137
TW_4467a039e00b,PS_044,PS_050,k2,0.005133441471255391,-0.009908597991943796,0.015042039463199187,0.015042039463199187
TW_4467a039e00b,PS_044,PS_051,k2,-0.00196198000095614,0.019911509120242976,-0.021873489121199116,0.021873489121199116
TW_4467a039e00b,PS_045,PS_046,k2,0.0038577197735949476,0.00042840495429743303,0.0034293148192975145,0.0034293148192975145
TW_4467a039e00b,PS_045,PS_047,k2,-0.010984064479098443,-0.004408831156011546,-0.006575233323086897,0.006575233323086897
TW_4467a039e00b,PS_045,PS_049,k2,0.0054115661711518215,0.004471908710032058,0.0009396574611197639,0.0009396574611197639
TW_4467a039e00b,PS_045,PS_050,k2,0.0014092670479463887,0.00035591313914393186,0.0010533539088024568,0.0010533539088024568
TW_4467a039e00b,PS_045,PS_051,k2,0.017226817547398215,0.007197090136950836,0.01002972741044738,0.01002972741044738
TW_4467a039e00b,PS_046,PS_047,k2,-0.01016488488498915,-0.005631450795477472,-0.004533434089511679,0.004533434089511679
TW_4467a039e00b,PS_046,PS_049,k2,0.00362692091281501,0.0015556310182867489,0.002071289894528261,0.002071289894528261
TW_4467a039e00b,PS_046,PS_050,k2,-0.0010971863247302635,-0.0007773309118516564,-0.00031985541287860714,0.00031985541287860714
TW_4467a039e00b,PS_046,PS_051,k2,0.012551383270648163,-0.0055205582268904735,0.018071941497538636,0.018071941497538636
TW_4467a039e00b,PS_047,PS_049,k2,0.0055881018416281125,-0.004955031331893289,0.010543133173521402,0.010543133173521402
TW_4467a039e00b,PS_047,PS_050,k2,-0.005802987299205489,-0.012683654441555267,0.006880667142349778,0.006880667142349778
TW_4467a039e00b,PS_047,PS_051,k2,0.007046983283108821,0.0009690375420284836,0.006077945741080337,0.006077945741080337
TW_4467a039e00b,PS_049,PS_050,k2,0.004305442370942658,-0.0005666203233767042,0.004872062694319362,0.004872062694319362
TW_4467a039e00b,PS_049,PS_051,k2,0.00795440561836086,7.567679474812516e-05,0.007878728823612735,0.007878728823612735
TW_4467a039e00b,PS_050,PS_051,k2,0.006698826868509478,0.0013077508493280834,0.005391076019181394,0.005391076019181394
TW_88a108921af7,PS_035,PS_039,k2,-0.01724144769353289,-0.010264387071291056,-0.006977060622241835,0.006977060622241835
